id,timezone_offset,type,unit,timestamp,start,end,value
,,,kcal,2024-01-20 00:00:00+00:00,2024-01-20 00:00:00+00:00,2024-01-21 00:00:00+00:00,286.0
,,,kcal,2024-01-21 00:00:00+00:00,2024-01-21 00:00:00+00:00,2024-01-22 00:00:00+00:00,150.0
,,,kcal,2024-01-22 00:00:00+00:00,2024-01-22 00:00:00+00:00,2024-01-23 00:00:00+00:00,136.0
,,,kcal,2024-01-23 00:00:00+00:00,2024-01-23 00:00:00+00:00,2024-01-24 00:00:00+00:00,147.0
,,,kcal,2024-01-24 00:00:00+00:00,2024-01-24 00:00:00+00:00,2024-01-25 00:00:00+00:00,488.0
,,,kcal,2024-01-25 00:00:00+00:00,2024-01-25 00:00:00+00:00,2024-01-26 00:00:00+00:00,149.0
,,,kcal,2024-01-26 00:00:00+00:00,2024-01-26 00:00:00+00:00,2024-01-27 00:00:00+00:00,223.0
,,,kcal,2024-01-27 00:00:00+00:00,2024-01-27 00:00:00+00:00,2024-01-27 23:59:59+00:00,258.0
,,,kcal,2024-01-29 00:00:00+00:00,2024-01-29 00:00:00+00:00,2024-01-30 00:00:00+00:00,184.0
,,,kcal,2024-01-30 00:00:00+00:00,2024-01-30 00:00:00+00:00,2024-01-31 00:00:00+00:00,573.0
,,,kcal,2024-02-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,2024-02-02 00:00:00+00:00,190.0
,,,kcal,2024-02-02 00:00:00+00:00,2024-02-02 00:00:00+00:00,2024-02-03 00:00:00+00:00,136.0
,,,kcal,2024-02-03 00:00:00+00:00,2024-02-03 00:00:00+00:00,2024-02-04 00:00:00+00:00,154.0
,,,kcal,2024-02-04 00:00:00+00:00,2024-02-04 00:00:00+00:00,2024-02-04 23:59:59+00:00,317.0
,0.0,,kcal,2024-01-30 00:00:00+00:00,2024-01-30 00:00:00+00:00,2024-01-30 00:01:00+00:00,0.09205184742485961
,0.0,,kcal,2024-01-30 00:30:00+00:00,2024-01-30 00:30:00+00:00,2024-01-30 00:31:00+00:00,0.012851173013149031
,0.0,,kcal,2024-01-30 00:45:00+00:00,2024-01-30 00:45:00+00:00,2024-01-30 00:46:00+00:00,0.06840454861642623
,0.0,,kcal,2024-01-30 01:00:00+00:00,2024-01-30 01:00:00+00:00,2024-01-30 01:01:00+00:00,0.09259199063829238
,0.0,,kcal,2024-01-30 01:15:00+00:00,2024-01-30 01:15:00+00:00,2024-01-30 01:16:00+00:00,0.022000609236068537
,0.0,,kcal,2024-01-30 01:45:00+00:00,2024-01-30 01:45:00+00:00,2024-01-30 01:46:00+00:00,0.08505625151484403
,0.0,,kcal,2024-01-30 03:00:00+00:00,2024-01-30 03:00:00+00:00,2024-01-30 03:01:00+00:00,0.078601452975477
,0.0,,kcal,2024-01-30 04:45:00+00:00,2024-01-30 04:45:00+00:00,2024-01-30 04:46:00+00:00,0.06793837826048697
,0.0,,kcal,2024-01-30 05:15:00+00:00,2024-01-30 05:15:00+00:00,2024-01-30 05:16:00+00:00,0.02195754194938676
,0.0,,kcal,2024-01-30 05:30:00+00:00,2024-01-30 05:30:00+00:00,2024-01-30 05:31:00+00:00,0.018093349834479456
,0.0,,kcal,2024-01-30 05:45:00+00:00,2024-01-30 05:45:00+00:00,2024-01-30 05:46:00+00:00,0.0753619937527919
,0.0,,kcal,2024-01-30 06:00:00+00:00,2024-01-30 06:00:00+00:00,2024-01-30 06:01:00+00:00,0.0602640485713463
,0.0,,kcal,2024-01-30 06:15:00+00:00,2024-01-30 06:15:00+00:00,2024-01-30 06:16:00+00:00,0.020867838373982463
,0.0,,kcal,2024-01-30 06:30:00+00:00,2024-01-30 06:30:00+00:00,2024-01-30 06:31:00+00:00,0.09942752134775128
,0.0,,kcal,2024-01-30 06:45:00+00:00,2024-01-30 06:45:00+00:00,2024-01-30 06:46:00+00:00,0.055151189367563816
,0.0,,kcal,2024-01-30 07:00:00+00:00,2024-01-30 07:00:00+00:00,2024-01-30 07:01:00+00:00,0.0497677294351159
,0.0,,kcal,2024-01-30 07:30:00+00:00,2024-01-30 07:30:00+00:00,2024-01-30 07:31:00+00:00,0.025084562415028877
,0.0,,kcal,2024-01-30 07:45:00+00:00,2024-01-30 07:45:00+00:00,2024-01-30 07:46:00+00:00,0.03610851926196692
,0.0,,kcal,2024-01-30 08:15:00+00:00,2024-01-30 08:15:00+00:00,2024-01-30 08:16:00+00:00,0.08215560955696524
,0.0,,kcal,2024-01-30 10:00:00+00:00,2024-01-30 10:00:00+00:00,2024-01-30 10:01:00+00:00,0.08739488782466154
,0.0,,kcal,2024-01-30 10:30:00+00:00,2024-01-30 10:30:00+00:00,2024-01-30 10:31:00+00:00,0.07584303310386192
